name,branch_name,category,rating_numeric,total_reviews,total_reviews_int,address,phone,website,maps_url,overview,about,city,source
Rowad Electronics,,Electronics store,4.6,,,"Anas Ibn Malik Rd, Alyasmin, Riyadh 14813, Saudi Arabia",+966556815220,https://rowadshop.com,https://www.google.com/maps/place/Rowad+Electronics,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
الرواد للإلكترونيات | Rowad Electronics,,Electronics store,4.7,,,"Dammam Rd, Qurtubah, Riyadh 13245, Saudi Arabia",+966557955220,https://rowadshop.com,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%AF+%D9%84%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA+%7C+Rowad+Electronics%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
الرواد للإلكترونيات | Rowad Electronics,,Electronics store,4.7,,,"Northern Ring Rd, Al Wadi, 3016, الرياض 13313, المملكة العربية السعودية 6178, Riyadh 13313, Saudi Arabia",+966536895220,https://rowadshop.com,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%AF+%D9%84%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA+%7C+Rowad+Electronics%E2%80%AD,,"General: See photos, 4.7, Electronics store, Northern Ring Rd, Al Wadi, 3016، الرياض 13313، المملكة العربية السعودية 6178, Riyadh 13313, Saudi Arabia, Closes soon, · 11 PM · Opens 9 AM Thu, Updated by this business 11 weeks ago, Thursday, 9 AM–11 PM, Suggest new hours, rowadshop.com, +966 53 689 5220, QMHQ+G9 Al Wadi, Riyadh Saudi Arabia, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Thursday 9 AM–11 PM Suggest new hours",Electronics store Riyadh makkah,google_maps
eXtra,,Electronics store,3.9,,,"Beside Edtaga Marke, King Fahd Rd, Street, Riyadh 12774, Saudi Arabia",+9668001240900,https://extra.com/ar-sa,https://www.google.com/maps/place/eXtra,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
Sharaf DG Riyadh Gallery,,Electronics store,4.7,,,"District, Riyadh Gallery Mall, King Abdullah Road, King Fahad Branch Road, King Fahd, Riyadh 12262, Saudi Arabia",+9668001240467,https://saudi.sharafdg.com,https://www.google.com/maps/place/Sharaf+DG+Riyadh+Gallery,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
كاميرات مراقبة وأنظمة أمنية,,Electronics store,4.7,,,"Al Malaz, Riyadh 12628, Saudi Arabia",+966510252532,,https://www.google.com/maps/place/%D9%83%D8%A7%D9%85%D9%8A%D8%B1%D8%A7%D8%AA+%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D8%A9+%D9%88%D8%A3%D9%86%D8%B8%D9%85%D8%A9+%D8%A3%D9%85%D9%86%D9%8A%D8%A9%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
Sheta & Saif Electronics,,Electronics store,4.0,,,"Anas Ibn Malik Rd, Alyasmin, Riyadh 13325, Saudi Arabia",+966920000066,https://swsg.co,https://www.google.com/maps/place/Sheta+%26+Saif+Electronics,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
مقر شركة الإلكترونية الحديثة - سوني | Modern Electronics - Sony - Head Office,,Electronics company,2.8,,,"المرحومه, Qurtubah, Riyadh 13244, Saudi Arabia",,https://mestores.com,https://www.google.com/maps/place/%D9%85%D9%82%D8%B1+%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9+-+%D8%B3%D9%88%D9%86%D9%8A+%7C+Modern+Electronics+-+Sony+-+Head+Office%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
eXtra,,Electronics store,3.7,,,"Al Mashtal, طريق الثمامة, Riyadh Saudi Arabia",+966920004123,https://extra.com/ar-sa,https://www.google.com/maps/place/eXtra,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Riyadh makkah,google_maps
اكسترا - eXtra,,Electronics store,3.9,,,"Sheikh Abdul Aziz Ben Baz St, Prince Majed Road with, Jeddah Saudi Arabia",+9668001240900,https://extra.com/ar-sa,https://www.google.com/maps/place/%D8%A7%D9%83%D8%B3%D8%AA%D8%B1%D8%A7+-+eXtra%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
Aleph ألف | Apple Premium Partner and Authorized Service Provider,,Electronics store,4.6,,,"Al-Madinah Al-Munawarah Rd, An Nuzaha, Jeddah 23532, Saudi Arabia",+9668003041444,https://alephksa.com,https://www.google.com/maps/place/Aleph+%D8%A3%D9%84%D9%81+%7C+Apple+Premium+Partner+and+Authorized+Service+Provider%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
AL MADINA ELECTRONIC,,Electronics store,3.5,,,"25 Street, Sahil Bin Sakhar, Jeddah 23443, Saudi Arabia",+966565452427,,https://www.google.com/maps/place/AL+MADINA+ELECTRONIC,,"General: See photos, 3.5, Electronics store, 25 Street, Sahil Bin Sakhar, Jeddah 23443, Saudi Arabia, +966 56 545 2427, J56M+8F Ar Rabwah, Jeddah Saudi Arabia, Add hours, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps",Electronics store Jeddah medina,google_maps
My store,,Electronics store,4.2,,,"Al-Madinah Al-Munawarah Branch Rd, Ar Rawdah, Jeddah 23434, Saudi Arabia",+966533882439,,https://www.google.com/maps/place/My+store,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
المدينة للالكترونيات,,Electronics store,4.3,,,"2947 مكرم الوجه, حي الشرفية, جدة 23216, 6971 مكرم الوجه, الشرفية, جدة 23216, Saudi Arabia",+966556366040,https://almadinaelec.com,https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D9%84%D9%84%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A7%D8%AA%E2%80%AD,,"General: See photos, 4.3, Electronics store, 2947 مكرم الوجه، حي الشرفية، جدة 23216، 6971 مكرم الوجه، الشرفية، جدة 23216، Saudi Arabia, Located in: بناية الاصيل, Closed, · Opens 9 AM Thu, Updated by this business 9 weeks ago, Thursday, 9 AM–2 PM, 5–9 PM, Suggest new hours, almadinaelec.com, +966 55 636 6040, G59Q+VH Al Sharafeyah, Jeddah Saudi Arabia, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Thursday 9 AM–2 PM 5–9 PM Suggest new hours",Electronics store Jeddah medina,google_maps
Modern Electronics - Sony,,Electronics repair shop,2.6,,,"Ibn Zaidoun, St Al Rawdah Dist, Jeddah 23434, Saudi Arabia",+966599194495,https://mestores.com,https://www.google.com/maps/place/Modern+Electronics+-+Sony,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
Madina computers Jeddah,,Computer store,4.3,,,"al fathi, Unnamed Road, جدة 23343,, saharah falastain oppsite harasul watni near masid, Jeddah 23343, Saudi Arabia",+966590423284,,https://www.google.com/maps/place/Madina+computers+Jeddah,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible seating, Wheelchair accessible restroom, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
eXtra,,Electronics store,3.9,,,"حي العزيزية, JCZA2835, 2835 9085 الامير محمد بن عبدالعزيز الفرعي, Jeddah 23334, Saudi Arabia",,https://extra.com/ar-sa,https://www.google.com/maps/place/eXtra,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
Awad Badi Nahas Trading Co. Ltd. Madinah Road شركة عوض بادي نحاس التجارية,,Appliance store,4.0,,,"Al-Madinah Al-Munawarah Rd, Near H Bridge, Jeddah 23434, Saudi Arabia",+966126970012,https://awadnahas.com,https://www.google.com/maps/place/Awad+Badi+Nahas+Trading+Co.+Ltd.+Madinah+Road+%D8%B4%D8%B1%D9%83%D8%A9+%D8%B9%D9%88%D8%B6+%D8%A8%D8%A7%D8%AF%D9%8A+%D9%86%D8%AD%D8%A7%D8%B3+%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9%E2%80%AD,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",Electronics store Jeddah medina,google_maps
